timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T00:58:00.000Z";"2023-08-01T16:53:00.000Z";248.1859633262;248.4291319544;239.8754352742;244.7663145811;255860409.88;4764328889.85;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T00:59:00.000Z";"2023-07-31T15:47:00.000Z";252.8369409904;258.3025546407;247.8981653464;248.1854557526;343798442.68;4830673954.98;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T15:44:00.000Z";"2023-07-30T00:36:00.000Z";242.0558382711;254.7664479131;241.3307962486;252.8351299229;399871335.82;4920958577.65;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T23:29:00.000Z";"2023-07-29T09:07:00.000Z";241.7145570071;242.2247729565;239.2466684541;242.0587957029;134092120.28;4710964923.52;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T00:51:00.000Z";"2023-07-28T17:46:00.000Z";244.7002675415;245.0810811071;241.7198002608;241.7776171923;133161572;4705273497.05;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T05:04:00.000Z";"2023-07-27T00:11:00.000Z";241.8681694029;249.2808428745;241.3107531935;244.6596358908;223970540;4761152970.58;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T21:06:00.000Z";"2023-07-26T01:37:00.000Z";237.5189427959;243.7961402547;234.3982687621;241.8631107639;241690653.97;4706488342.94;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T00:00:00.000Z";"2023-07-25T08:16:00.000Z";238.617760116;238.617760116;233.0025376005;237.5208931379;201128777.57;4621800299.13;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:43:00.000Z";"2023-07-24T20:50:00.000Z";249.6449362535;252.7045310874;236.5799884779;238.6156090177;270198821.84;4642900496.16;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T11:43:00.000Z";"2023-07-23T00:53:00.000Z";239.2804989359;254.0852182842;238.8908304954;249.6577517975;294423443.57;4857537824.46;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T01:00:00.000Z";"2023-07-22T23:35:00.000Z";246.2220696312;247.5905933865;238.6725204823;239.2456804975;162239993.33;4654704148.34;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T18:43:00.000Z";"2023-07-21T00:40:00.000Z";244.0611537341;247.9808660593;242.1670402342;246.2205656083;193465961.46;4790211870.64;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T07:04:00.000Z";"2023-07-20T20:49:00.000Z";244.3542863136;247.3353880215;241.1842539067;244.0637976938;310023091.37;4748027798.13;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T01:52:00.000Z";"2023-07-19T21:22:00.000Z";244.3232120749;250.9692579335;241.8146181073;244.3693446312;303356781.07;4753750461.9;"2023-07-19T23:59:59.999Z"
"2023-07-18T00:00:00.000Z";"2023-07-18T23:59:59.999Z";"2023-07-18T23:10:00.000Z";"2023-07-18T12:34:00.000Z";242.3657284465;247.2397906526;232.7616192802;244.3762756952;409074430.75;4753669936.25;"2023-07-18T23:59:59.999Z"
"2023-07-17T00:00:00.000Z";"2023-07-17T23:59:59.999Z";"2023-07-17T01:56:00.000Z";"2023-07-17T18:35:00.000Z";249.9383502;254.0129858279;236.7175124091;242.3697018038;353367690.35;4714405780.7;"2023-07-17T23:59:59.999Z"
"2023-07-16T00:00:00.000Z";"2023-07-16T23:59:59.999Z";"2023-07-16T01:36:00.000Z";"2023-07-16T23:58:00.000Z";253.381882989;260.3437930116;249.8752287353;249.9212378716;379661094.42;4861097723.25;"2023-07-16T23:59:59.999Z"
"2023-07-15T00:00:00.000Z";"2023-07-15T23:59:59.999Z";"2023-07-15T00:00:00.000Z";"2023-07-15T13:49:00.000Z";264.3602860287;264.3602860287;248.2893837646;253.3329133796;365742268.04;4927234915.39;"2023-07-15T23:59:59.999Z"
"2023-07-14T00:00:00.000Z";"2023-07-14T23:59:59.999Z";"2023-07-14T05:37:00.000Z";"2023-07-14T19:07:00.000Z";274.2887635207;277.3254701097;257.5530873977;264.395498146;579193830.01;5142165249.52;"2023-07-14T23:59:59.999Z"
"2023-07-13T00:00:00.000Z";"2023-07-13T23:59:59.999Z";"2023-07-13T07:14:00.000Z";"2023-07-13T21:26:00.000Z";282.4942744084;287.4993356686;270.3282689092;274.3050189106;872446208.46;5334673721.34;"2023-07-13T23:59:59.999Z"
"2023-07-12T00:00:00.000Z";"2023-07-12T23:59:59.999Z";"2023-07-12T12:34:00.000Z";"2023-07-12T00:34:00.000Z";274.0299881489;289.4921193017;273.2661119784;282.5011532016;644274213.81;5493837004.59;"2023-07-12T23:59:59.999Z"
"2023-07-11T00:00:00.000Z";"2023-07-11T23:59:59.999Z";"2023-07-11T07:12:00.000Z";"2023-07-11T16:25:00.000Z";274.5970348716;276.8586500228;271.4412144245;274.0305505671;334511105.87;5328798086.33;"2023-07-11T23:59:59.999Z"
